Name,id,Description as described by Vulkan Docs https://docs.vulkan.org/refpages/latest/refpages/source/VkResult.html
VK_ERROR_SURFACE_LOST_KHR|-1000000000|A surface is no longer available.
VK_ERROR_NATIVE_WINDOW_IN_USE_KHR|-1000000001|The requested window is already in use by Vulkan or another API in a manner which prevents it from being used again.
VK_SUBOPTIMAL_KHR|1000001003|A swapchain no longer matches the surface properties exactly, but can still be used to present to the surface successfully.
VK_ERROR_OUT_OF_DATE_KHR|-1000001004|A surface has changed in such a way that it is no longer compatible with the swapchain, and further presentation requests using the swapchain will fail. Applications must query the new surface properties and recreate their swapchain if they wish to continue presenting to the surface.
VK_ERROR_INCOMPATIBLE_DISPLAY_KHR|-1000003001|The display used by a swapchain does not use the same presentable image layout, or is incompatible in a way that prevents sharing an image.
VK_ERROR_INVALID_SHADER_NV|-1000012000|One or more shaders failed to compile or link. More details are reported back to the application via VK_EXT_debug_report if enabled.
VK_ERROR_IMAGE_USAGE_NOT_SUPPORTED_KHR|-1000023000|The requested VkImageUsageFlags are not supported.
VK_ERROR_VIDEO_PICTURE_LAYOUT_NOT_SUPPORTED_KHR|-1000023001|The requested video picture layout is not supported.
VK_ERROR_VIDEO_PROFILE_OPERATION_NOT_SUPPORTED_KHR|-1000023002|A video profile operation specified via VkVideoProfileInfoKHR::videoCodecOperation is not supported.
VK_ERROR_VIDEO_PROFILE_FORMAT_NOT_SUPPORTED_KHR|-1000023003|Format parameters in a requested VkVideoProfileInfoKHR chain are not supported.
VK_ERROR_VIDEO_PROFILE_CODEC_NOT_SUPPORTED_KHR|-1000023004|Codec-specific parameters in a requested VkVideoProfileInfoKHR chain are not supported.
VK_ERROR_VIDEO_STD_VERSION_NOT_SUPPORTED_KHR|-1000023005|The specified video Std header version is not supported.
VK_ERROR_INVALID_DRM_FORMAT_MODIFIER_PLANE_LAYOUT_EXT|-1000158000|<No Description>
VK_ERROR_PRESENT_TIMING_QUEUE_FULL_EXT|-1000208000|<No Description>
VK_ERROR_FULL_SCREEN_EXCLUSIVE_MODE_LOST_EXT|-1000255000|An operation on a swapchain created with VK_FULL_SCREEN_EXCLUSIVE_APPLICATION_CONTROLLED_EXT failed as it did not have exclusive full-screen access. This may occur due to implementation-dependent reasons, outside of the application’s control.
VK_THREAD_IDLE_KHR|1000268000|A deferred operation is not complete but there is currently no work for this thread to do at the time of this call.
VK_THREAD_DONE_KHR|1000268001|A deferred operation is not complete but there is no work remaining to assign to additional threads.
VK_OPERATION_DEFERRED_KHR|1000268002|A deferred operation was requested and at least some of the work was deferred.
VK_OPERATION_NOT_DEFERRED_KHR|1000268003|A deferred operation was requested and no operations were deferred.
VK_ERROR_INVALID_VIDEO_STD_PARAMETERS_KHR|-1000299000|The specified Video Std parameters do not adhere to the syntactic or semantic requirements of the used video compression standard, or values derived from parameters according to the rules defined by the used video compression standard do not adhere to the capabilities of the video compression standard or the implementation.
VK_ERROR_COMPRESSION_EXHAUSTED_EXT|-1000338000|An image creation failed because internal resources required for compression are exhausted. This must only be returned when fixed-rate compression is requested.
VK_INCOMPATIBLE_SHADER_BINARY_EXT|1000482000|The provided binary shader code is not compatible with this device.
VK_PIPELINE_BINARY_MISSING_KHR|1000483000|The application attempted to create a pipeline binary by querying an internal cache, but the internal cache entry did not exist.
VK_ERROR_NOT_ENOUGH_SPACE_KHR|-1000483000|The application did not provide enough space to return all the required data.
